gt_y,gt_z,id,x,y,z,speed_x,speed_y,speed_z
0,0.6,0,-1.5673596858978271,-0.2668249309062958,1.2045263051986694,-0.11332670599222183,1.0735104084014893,-0.15606087446212769
0,0.6,0,-1.5774879455566406,-0.15755949914455414,1.188912272453308,-0.044620171189308167,0.5558992624282837,-0.07811012119054794
0,0.6,0,-1.5599631071090698,-0.08154149353504181,1.2639365196228027,-0.07893556356430054,0.6731417179107666,0.04886583238840103
0,0.6,0,-1.547115445137024,0.027711836621165276,1.2940683364868164,-0.09207460284233093,0.7421424984931946,0.1156109869480133
0,0.6,0,-1.5654067993164062,0.08010579645633698,1.292534351348877,-0.12442685663700104,0.7338687181472778,0.12570849061012268
0,0.6,0,-1.5749059915542603,0.15602199733257294,1.302384853363037,-0.1326904147863388,0.7451393604278564,0.13780872523784637
0,0.6,0,-1.5745946168899536,0.2141188085079193,1.3188884258270264,-0.11844263225793839,0.7242621779441833,0.146275594830513
0,0.6,0,-1.5405993461608887,0.24592582881450653,1.33596932888031,-0.046663686633110046,0.6484202742576599,0.13569925725460052
0,0.6,0,-1.5120295286178589,0.27482208609580994,1.3396328687667847,0.012989070266485214,0.5789720416069031,0.109667107462883
0,0.6,0,-1.5104349851608276,0.3325223922729492,1.3508416414260864,0.00945042073726654,0.28751689195632935,0.05725419893860817
0,0.6,0,-1.5104349851608276,0.3325223922729492,1.3508416414260864,0.00472521036863327,0.14375844597816467,0.028627099469304085
0,0.6,0,-1.5104349851608276,0.3325223922729492,1.3508416414260864,0.002362605184316635,0.07187922298908234,0.014313549734652042
0,0.6,0,-1.5104349851608276,0.3325223922729492,1.3508416414260864,0.0,0.0,0.0
0,0.6,0,-1.5104349851608276,0.3325223922729492,1.3508416414260864,0.0,0.0,0.0
0,0.6,0,-1.5104349851608276,0.3325223922729492,1.3508416414260864,0.0,0.0,0.0
0,0.6,0,-1.5104349851608276,0.3325223922729492,1.3508416414260864,0.0,0.0,0.0
0,0.6,0,-1.5104349851608276,0.3325223922729492,1.3508416414260864,0.0,0.0,0.0
0,0.6,0,-1.5104349851608276,0.3325223922729492,1.3508416414260864,0.0,0.0,0.0
0,0.6,0,-1.5104349851608276,0.3325223922729492,1.3508416414260864,0.0,0.0,0.0
0,0.6,0,-1.5104349851608276,0.3325223922729492,1.3508416414260864,0.0,0.0,0.0
0,0.6,0,-1.5104349851608276,0.3325223922729492,1.3508416414260864,0.0,0.0,0.0
0,0.6,0,-1.5104349851608276,0.3325223922729492,1.3508416414260864,0.0,0.0,0.0
0,0.6,0,-1.5140109062194824,0.3345029652118683,1.3500173091888428,-0.007037551607936621,0.004939930979162455,0.0022506993263959885
0,0.6,0,-1.4985169172286987,0.3196157217025757,1.39207124710083,-0.0036899130791425705,-0.00184996472671628,0.06211687624454498
0,0.6,0,-1.4819293022155762,0.320113867521286,1.4362379312515259,0.0010399320162832737,0.0071539380587637424,0.12085175514221191
0,0.6,0,-1.4682713747024536,0.31567928194999695,1.4967695474624634,-0.007170204073190689,0.015158156864345074,0.20456534624099731
0,0.6,0,-1.451277494430542,0.3355112671852112,1.4997841119766235,0.019061338156461716,0.028012504801154137,0.18454311788082123
